# its =           23
# epsA =   1.00000000E-09
# T =    1.1125858459410674E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.19743741E-01 -2.82368562E-01 -1.15286790E+01  0.00000000E+00  1.15286790E+01  3.14159265E+00
        2  1.15846809E-01  0.00000000E+00  3.62877525E+00  0.00000000E+00  3.62877525E+00  0.00000000E+00
        3 -3.20546723E-06  0.00000000E+00  9.99964337E-01  0.00000000E+00  9.99964337E-01  0.00000000E+00
        4 -1.05571949E-01  1.32252778E-01  3.06499749E-02  3.07425047E-01  3.08949155E-01  1.47142569E+00
        5 -1.83161319E-01 -2.82368562E-01 -1.30311582E-01  0.00000000E+00  1.30311582E-01  3.14159265E+00
        6 -2.07305924E-01  0.00000000E+00  9.96136210E-02  0.00000000E+00  9.96136210E-02  0.00000000E+00
        7 -2.09872457E-01  1.77976986E-01 -3.85314464E-02  8.88109584E-02  9.68093937E-02  1.98014676E+00
        8 -2.70750731E-01 -2.82368562E-01 -4.91767507E-02  0.00000000E+00  4.91767507E-02  3.14159265E+00
        9 -3.64346079E-01  1.48529422E-01 -1.41698980E-03  1.73007438E-02  1.73586749E-02  1.65251732E+00
       10 -3.84195755E-01  0.00000000E+00  1.39189008E-02  0.00000000E+00  1.39189008E-02  0.00000000E+00
