# its =           29
# epsA =   1.00000000E-09
# T =    5.9469249661993340E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.63411452E-01  0.00000000E+00  4.78979751E+00  0.00000000E+00  4.78979751E+00  0.00000000E+00
        2  6.85796382E-02 -5.28271783E-01 -1.50356351E+00  0.00000000E+00  1.50356351E+00  3.14159265E+00
        3  1.54752874E-02  2.09833784E-01  3.47938652E-01  1.03972474E+00  1.09639812E+00  1.24786577E+00
        4 -1.97282716E-05  0.00000000E+00  9.99882684E-01  0.00000000E+00  9.99882684E-01  0.00000000E+00
        5 -4.66195226E-02  0.00000000E+00  7.57870461E-01  0.00000000E+00  7.57870461E-01  0.00000000E+00
        6 -1.89326487E-01 -5.28271783E-01 -3.24357035E-01  0.00000000E+00  3.24357035E-01  3.14159265E+00
        7 -2.17253784E-01  2.08132898E-01  8.98132091E-02  2.59627262E-01  2.74723002E-01  1.23775073E+00
        8 -2.58835162E-01 -5.28271783E-01 -2.14536952E-01  0.00000000E+00  2.14536952E-01  3.14159265E+00
        9 -3.34138860E-01  0.00000000E+00  1.37092592E-01  0.00000000E+00  1.37092592E-01  0.00000000E+00
       10 -4.49373176E-01 -5.28271783E-01 -6.90870098E-02  0.00000000E+00  6.90870098E-02  3.14159265E+00
