# its =           22
# epsA =   1.00000000E-09
# T =    1.4825498365901455E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  3.56169974E-01  0.00000000E+00  1.96447922E+02  0.00000000E+00  1.96447922E+02  0.00000000E+00
        2  6.24315821E-07  0.00000000E+00  1.00000926E+00  0.00000000E+00  1.00000926E+00  0.00000000E+00
        3 -1.87033077E-02  1.19631682E-01 -1.52640407E-01  7.42306598E-01  7.57837832E-01  1.77359931E+00
        4 -1.28370364E-01 -2.11904691E-01 -1.49097530E-01  0.00000000E+00  1.49097530E-01  3.14159265E+00
        5 -1.37630121E-01  0.00000000E+00  1.29972143E-01  0.00000000E+00  1.29972143E-01  0.00000000E+00
        6 -1.79959023E-01 -2.11904691E-01 -6.93921030E-02  0.00000000E+00  6.93921030E-02  3.14159265E+00
        7 -2.55924301E-01  9.45339355E-02  3.79084709E-03  2.21791472E-02  2.25007799E-02  1.40151271E+00
        8 -2.60131974E-01 -2.11904691E-01 -2.11400454E-02  0.00000000E+00  2.11400454E-02  3.14159265E+00
        9 -3.37078408E-01  0.00000000E+00  6.75578989E-03  0.00000000E+00  6.75578989E-03  0.00000000E+00
       10 -3.70867821E-01  0.00000000E+00  4.09372375E-03  0.00000000E+00  4.09372375E-03  0.00000000E+00
