# its =           20
# epsA =   1.00000000E-09
# T =    1.7010554627478992E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.08747658E-01 -1.84684904E-01 -3.48451319E+01  0.00000000E+00  3.48451319E+01  3.14159265E+00
        2  1.41716445E-01 -1.84684904E-01 -1.11414828E+01  0.00000000E+00  1.11414828E+01  3.14159265E+00
        3  1.17549023E-01  0.00000000E+00  7.38590966E+00  0.00000000E+00  7.38590966E+00  0.00000000E+00
        4 -1.11018224E-07  0.00000000E+00  9.99998112E-01  0.00000000E+00  9.99998112E-01  0.00000000E+00
        5 -1.31812091E-01  0.00000000E+00  1.06224896E-01  0.00000000E+00  1.06224896E-01  0.00000000E+00
        6 -1.90776827E-01 -1.84684904E-01 -3.89600061E-02  0.00000000E+00  3.89600061E-02  3.14159265E+00
        7 -2.90266637E-01  4.59167096E-02  5.09314733E-03  5.04923595E-03  7.17181521E-03  7.81068698E-01
        8 -3.31686672E-01  1.64664778E-01 -3.34155370E-03  1.18411201E-03  3.54515195E-03  2.80103920E+00
        9 -3.43848917E-01  0.00000000E+00  2.88260529E-03  0.00000000E+00  2.88260529E-03  0.00000000E+00
       10 -3.81088029E-01 -1.84684904E-01 -1.52995228E-03  0.00000000E+00  1.52995228E-03  3.14159265E+00
