# its =           37
# epsA =   1.00000000E-09
# T =    3.0480594919020509E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  4.49182631E-01  0.00000000E+00  3.93194959E+00  0.00000000E+00  3.93194959E+00  0.00000000E+00
        2  1.86311132E-01 -1.03068613E+00 -1.76453538E+00  0.00000000E+00  1.76453538E+00  3.14159265E+00
        3  1.23067858E-05  0.00000000E+00  1.00003751E+00  0.00000000E+00  1.00003751E+00  0.00000000E+00
        4 -1.42216833E-02  4.28994710E-01  2.49129878E-01  9.24602145E-01  9.57577581E-01  1.30760140E+00
        5 -1.23168343E-01  1.45930044E-01  6.20149497E-01  2.95601662E-01  6.86997629E-01  4.44803457E-01
        6 -3.28848559E-01  9.12777580E-01 -3.43567570E-01  1.29081496E-01  3.67015950E-01  2.78220037E+00
        7 -3.50390721E-01  0.00000000E+00  3.43691178E-01  0.00000000E+00  3.43691178E-01  0.00000000E+00
        8 -4.36553224E-01  2.78658354E-01  1.74564435E-01  1.98459002E-01  2.64307997E-01  8.49367240E-01
        9 -4.39681829E-01  0.00000000E+00  2.61799490E-01  0.00000000E+00  2.61799490E-01  0.00000000E+00
       10 -4.90312773E-01  5.02820028E-01  8.56196600E-03  2.24196767E-01  2.24360196E-01  1.53262536E+00
