# its =           37
# epsA =   1.00000000E-09
# T =    2.8076043737200149E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.24196484E-01  0.00000000E+00  1.87658761E+00  0.00000000E+00  1.87658761E+00  0.00000000E+00
        2  3.71944909E-02 -1.11895846E+00 -1.11007482E+00  0.00000000E+00  1.11007482E+00  3.14159265E+00
        3 -3.34852264E-07  0.00000000E+00  9.99999060E-01  0.00000000E+00  9.99999060E-01  0.00000000E+00
        4 -8.02824828E-03  3.23766209E-01  6.00832457E-01  7.71311278E-01  9.77711986E-01  9.09007424E-01
        5 -1.39590692E-01  3.28208586E-01  4.08593715E-01  5.38242001E-01  6.75761256E-01  9.21479860E-01
        6 -3.19194836E-01  9.76104222E-01 -3.75739812E-01  1.59337989E-01  4.08128658E-01  2.74051448E+00
        7 -3.51591949E-01  0.00000000E+00  3.72644240E-01  0.00000000E+00  3.72644240E-01  0.00000000E+00
        8 -3.69512676E-01  5.94212152E-01 -3.45010183E-02  3.52675229E-01  3.54358770E-01  1.66831264E+00
        9 -4.03269795E-01  1.06110167E+00 -3.18073216E-01  5.21267747E-02  3.22316260E-01  2.97915368E+00
       10 -5.57131751E-01  3.01492592E-01  1.38658023E-01  1.56720353E-01  2.09254191E-01  8.46471920E-01
