# its =           35
# epsA =   1.00000000E-09
# T =    3.3281364171490035E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  1.16368059E-01  2.10396131E-01  1.12638316E+00  9.49176662E-01  1.47298179E+00  7.00227024E-01
        2 -2.24966298E-06  0.00000000E+00  9.99992513E-01  0.00000000E+00  9.99992513E-01  0.00000000E+00
        3 -6.11625939E-02  4.51475761E-01  5.56150800E-02  8.13925468E-01  8.15823329E-01  1.50257292E+00
        4 -1.96441063E-01 -9.43949484E-01 -5.20074788E-01  0.00000000E+00  5.20074788E-01  3.14159265E+00
        5 -2.48994643E-01  3.70234492E-01  1.45033517E-01  4.11829802E-01  4.36621698E-01  1.23219090E+00
        6 -3.31167112E-01  0.00000000E+00  3.32149760E-01  0.00000000E+00  3.32149760E-01  0.00000000E+00
        7 -3.57016271E-01  4.85043008E-01 -1.32511611E-02  3.04481493E-01  3.04769705E-01  1.61428930E+00
        8 -3.78180066E-01  7.13504634E-01 -2.04518196E-01  1.97108837E-01  2.84041522E-01  2.37464076E+00
        9 -5.06611411E-01  7.30593928E-02  1.79796574E-01  4.46002765E-02  1.85245763E-01  2.43151626E-01
       10 -5.13147899E-01  2.94880841E-01  1.00754163E-01  1.50677015E-01  1.81259384E-01  9.81403664E-01
