# its =           34
# epsA =   1.00000000E-09
# T =    3.2001238047931571E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.28016671E-01 -9.81709723E-01 -2.07441996E+00  0.00000000E+00  2.07441996E+00  3.14159265E+00
        2  1.52673099E-01  0.00000000E+00  1.62998827E+00  0.00000000E+00  1.62998827E+00  0.00000000E+00
        3  1.06298359E-06  0.00000000E+00  1.00000340E+00  0.00000000E+00  1.00000340E+00  0.00000000E+00
        4 -6.71658374E-02  4.07958010E-01  2.11471664E-01  7.78375361E-01  8.06590645E-01  1.30551614E+00
        5 -9.17314593E-02  3.26474821E-01  3.74378175E-01  6.44806867E-01  7.45610430E-01  1.04475985E+00
        6 -3.15823797E-01  8.24006533E-01 -3.18598128E-01  1.75987692E-01  3.63973123E-01  2.63692292E+00
        7 -3.15948973E-01  0.00000000E+00  3.63827352E-01  0.00000000E+00  3.63827352E-01  0.00000000E+00
        8 -3.27967729E-01  3.71759028E-01  1.30223659E-01  3.24979371E-01  3.50099690E-01  1.18967492E+00
        9 -4.26561832E-01  4.84001726E-01  5.59999045E-03  2.55306327E-01  2.55367736E-01  1.54886545E+00
       10 -5.00884466E-01  2.85576822E-01  1.22937457E-01  1.59416037E-01  2.01313415E-01  9.13881185E-01
