# its =           30
# epsA =   1.00000000E-09
# T =    4.8177772608090921E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.93441091E-01  1.54209174E-01  3.02787070E+00  2.78111525E+00  4.11127754E+00  7.42945452E-01
        2 -2.77352232E-06  0.00000000E+00  9.99986638E-01  0.00000000E+00  9.99986638E-01  0.00000000E+00
        3 -2.25503710E-02  1.64556676E-01  6.29600037E-01  6.38986796E-01  8.97050908E-01  7.92797411E-01
        4 -1.21429127E-01 -6.52083416E-01 -5.57095562E-01  0.00000000E+00  5.57095562E-01  3.14159265E+00
        5 -2.12996618E-01  0.00000000E+00  3.58376824E-01  0.00000000E+00  3.58376824E-01  0.00000000E+00
        6 -2.77448618E-01  4.30738770E-01 -1.26967115E-01  2.29996742E-01  2.62714959E-01  2.07520345E+00
        7 -3.25761590E-01  4.27171325E-01 -9.74546530E-02  1.83938318E-01  2.08160309E-01  2.05801629E+00
        8 -3.37499100E-01 -6.52083416E-01 -1.96715749E-01  0.00000000E+00  1.96715749E-01  3.14159265E+00
        9 -4.08648257E-01  5.50260269E-01 -1.23161134E-01  6.57815050E-02  1.39627617E-01  2.65103141E+00
       10 -4.96112037E-01  1.46291472E-01  6.97871385E-02  5.93558206E-02  9.16152724E-02  7.04799728E-01
