# its =           37
# epsA =   1.00000000E-09
# T =    3.2027168157920824E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.32252735E-01 -9.80914903E-01 -2.10399883E+00  0.00000000E+00  2.10399883E+00  3.14159265E+00
        2  5.81512901E-06  0.00000000E+00  1.00001862E+00  0.00000000E+00  1.00001862E+00  0.00000000E+00
        3 -2.27822383E-02  5.15760246E-01 -7.52529034E-02  9.26582483E-01  9.29633313E-01  1.65183401E+00
        4 -6.46204691E-02  2.70102673E-01  5.27339096E-01  6.18842392E-01  8.13051307E-01  8.65062373E-01
        5 -2.51514768E-01  1.20611495E-01  4.13924699E-01  1.68350702E-01  4.46850775E-01  3.86284465E-01
        6 -3.49539369E-01  8.50068484E-01 -2.98203200E-01  1.32834730E-01  3.26450936E-01  2.72252863E+00
        7 -4.03118219E-01  3.88551818E-01  8.81602593E-02  2.60459710E-01  2.74975439E-01  1.24442144E+00
        8 -4.53186091E-01  2.74756947E-01  1.49249299E-01  1.80530013E-01  2.34235862E-01  8.79968694E-01
        9 -4.98501613E-01  5.90733144E-01 -6.39507808E-02  1.92234112E-01  2.02592340E-01  1.89195097E+00
       10 -5.99050563E-01  6.62759344E-01 -7.69672034E-02  1.25021511E-01  1.46813925E-01  2.12263049E+00
