# its =           23
# epsA =   1.00000000E-09
# T =    1.1966977491915689E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.08725526E-01 -2.62521815E-01 -1.21558881E+01  0.00000000E+00  1.21558881E+01  3.14159265E+00
        2  1.73165225E-01  0.00000000E+00  7.94278802E+00  0.00000000E+00  7.94278802E+00  0.00000000E+00
        3 -3.28032748E-06  0.00000000E+00  9.99960745E-01  0.00000000E+00  9.99960745E-01  0.00000000E+00
        4 -6.19583478E-02  2.32177298E-01 -4.45352689E-01  1.69226453E-01  4.76420623E-01  2.77846050E+00
        5 -1.36193610E-01  1.61057142E-01 -6.84036472E-02  1.83637444E-01  1.95963695E-01  1.92736720E+00
        6 -1.44924796E-01  0.00000000E+00  1.76521646E-01  0.00000000E+00  1.76521646E-01  0.00000000E+00
        7 -1.85621220E-01  0.00000000E+00  1.08465301E-01  0.00000000E+00  1.08465301E-01  0.00000000E+00
        8 -3.34115509E-01  0.00000000E+00  1.83458336E-02  0.00000000E+00  1.83458336E-02  0.00000000E+00
        9 -3.71126369E-01  1.21877148E-01  1.32017993E-03  1.17068714E-02  1.17810744E-02  1.45850108E+00
       10 -4.48373011E-01  2.14925835E-01 -3.93638085E-03  2.52076456E-03  4.67432863E-03  2.57201263E+00
