# its =           25
# epsA =   1.00000000E-09
# T =    1.6522519156176440E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  3.22549285E-01  4.89751634E-02  1.42363385E+02  1.49304917E+02  2.06299034E+02  8.09193076E-01
        2 -1.25981758E-05  0.00000000E+00  9.99791868E-01  0.00000000E+00  9.99791868E-01  0.00000000E+00
        3 -1.32128888E-01  1.19606585E-01 -4.44445534E-02  1.03556919E-01  1.12691410E-01  1.97620209E+00
        4 -1.88639211E-01 -1.90140052E-01 -4.42989199E-02  0.00000000E+00  4.42989199E-02  3.14159265E+00
        5 -2.46269872E-01  5.82590577E-02  9.76778385E-03  1.40289780E-02  1.70944969E-02  9.62586397E-01
        6 -3.00526008E-01  7.82249098E-02  1.91629591E-03  6.70642388E-03  6.97483414E-03  1.29247257E+00
        7 -3.58728177E-01  9.46486145E-02  1.85641596E-05  2.66615633E-03  2.66622096E-03  1.56383355E+00
        8 -3.76101981E-01  1.68329773E-01 -1.87239281E-03  7.05545278E-04  2.00091203E-03  2.78123190E+00
        9 -4.03621636E-01  0.00000000E+00  1.26986306E-03  0.00000000E+00  1.26986306E-03  0.00000000E+00
       10 -4.21445222E-01  0.00000000E+00  9.45934958E-04  0.00000000E+00  9.45934958E-04  0.00000000E+00
