# its =           28
# epsA =   1.00000000E-09
# T =    5.7962028126594634E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  1.29628884E-01  0.00000000E+00  2.11987114E+00  0.00000000E+00  2.11987114E+00  0.00000000E+00
        2  6.00590585E-02 -5.42008752E-01 -1.41639439E+00  0.00000000E+00  1.41639439E+00  3.14159265E+00
        3  2.06342721E-02 -5.42008752E-01 -1.12704642E+00  0.00000000E+00  1.12704642E+00  3.14159265E+00
        4  1.30789623E-06  0.00000000E+00  1.00000758E+00  0.00000000E+00  1.00000758E+00  0.00000000E+00
        5 -2.74369370E-02  2.30430379E-01  1.98753509E-01  8.29491471E-01  8.52970725E-01  1.33562121E+00
        6 -1.54094382E-01  0.00000000E+00  4.09359190E-01  0.00000000E+00  4.09359190E-01  0.00000000E+00
        7 -1.67596750E-01  3.82443699E-01 -2.27859340E-01  3.02283259E-01  3.78543323E-01  2.21672125E+00
        8 -2.61092390E-01  0.00000000E+00  2.20172391E-01  0.00000000E+00  2.20172391E-01  0.00000000E+00
        9 -3.81444678E-01  0.00000000E+00  1.09598596E-01  0.00000000E+00  1.09598596E-01  0.00000000E+00
       10 -4.30888412E-01  5.15215090E-01 -8.12987453E-02  1.27283114E-02  8.22890995E-02  2.98629115E+00
