# its =           33
# epsA =   1.00000000E-09
# T =    2.9285150127397226E+00
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  3.69964658E-01  0.00000000E+00  2.95484754E+00  0.00000000E+00  2.95484754E+00  0.00000000E+00
        2  2.05209619E-01 -1.07275962E+00 -1.82386787E+00  0.00000000E+00  1.82386787E+00  3.14159265E+00
        3  2.02035199E-01  0.00000000E+00  1.80699115E+00  0.00000000E+00  1.80699115E+00  0.00000000E+00
        4  2.56223778E-06  0.00000000E+00  1.00000750E+00  0.00000000E+00  1.00000750E+00  0.00000000E+00
        5 -1.34971129E-01  3.67160425E-01  3.20267288E-01  5.92480552E-01  6.73501552E-01  1.07523482E+00
        6 -2.25725623E-01  0.00000000E+00  5.16313636E-01  0.00000000E+00  5.16313636E-01  0.00000000E+00
        7 -2.76797384E-01  3.58218447E-01  2.21581551E-01  3.85435969E-01  4.44588878E-01  1.04904810E+00
        8 -3.27371394E-01  9.85965665E-01 -3.71068328E-01  9.64022403E-02  3.83386354E-01  2.88741525E+00
        9 -3.84795481E-01  2.11102669E-01  2.64066762E-01  1.87809879E-01  3.24042907E-01  6.18217336E-01
       10 -4.63320967E-01  4.77648605E-01  4.40660217E-02  2.53673546E-01  2.57472488E-01  1.39880111E+00
