# its =           20
# epsA =   1.00000000E-09
# T =    1.5066783092441192E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  2.55108652E-01 -2.08511175E-01 -4.66963838E+01  0.00000000E+00  4.66963838E+01  3.14159265E+00
        2  1.46969308E-01  0.00000000E+00  9.15549904E+00  0.00000000E+00  9.15549904E+00  0.00000000E+00
        3  3.74459756E-02 -2.08511175E-01 -1.75802390E+00  0.00000000E+00  1.75802390E+00  3.14159265E+00
        4  2.71664132E-06  0.00000000E+00  1.00004093E+00  0.00000000E+00  1.00004093E+00  0.00000000E+00
        5 -1.40298950E-01  8.36480852E-02  3.68986410E-02  1.14996859E-01  1.20771633E-01  1.26030756E+00
        6 -2.49041231E-01 -2.08511175E-01 -2.34648854E-02  0.00000000E+00  2.34648854E-02  3.14159265E+00
        7 -2.57625377E-01  0.00000000E+00  2.06181057E-02  0.00000000E+00  2.06181057E-02  0.00000000E+00
        8 -2.92586268E-01  9.76780887E-02  1.20463411E-03  1.21157081E-02  1.21754477E-02  1.47169458E+00
        9 -3.17179645E-01 -2.08511175E-01 -8.40543375E-03  0.00000000E+00  8.40543375E-03  3.14159265E+00
       10 -3.72286506E-01  0.00000000E+00  3.66414583E-03  0.00000000E+00  3.66414583E-03  0.00000000E+00
