# its =           20
# epsA =   1.00000000E-09
# T =    1.4056044740768177E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  3.21621182E-01 -2.23504742E-01 -9.19019014E+01  0.00000000E+00  9.19019014E+01  3.14159265E+00
        2  1.21592341E-01  0.00000000E+00  5.52402844E+00  0.00000000E+00  5.52402844E+00  0.00000000E+00
        3  7.47522622E-02 -2.23504742E-01 -2.85971263E+00  0.00000000E+00  2.85971263E+00  3.14159265E+00
        4 -8.57389842E-07  0.00000000E+00  9.99987949E-01  0.00000000E+00  9.99987949E-01  0.00000000E+00
        5 -8.50849046E-02 -2.23504742E-01 -3.02414337E-01  0.00000000E+00  3.02414337E-01  3.14159265E+00
        6 -1.48578809E-01  0.00000000E+00  1.23881429E-01  0.00000000E+00  1.23881429E-01  0.00000000E+00
        7 -2.08832798E-01  6.75041405E-02  3.09440602E-02  4.31658308E-02  5.31114282E-02  9.48841219E-01
        8 -2.18198549E-01 -2.23504742E-01 -4.65602283E-02  0.00000000E+00  4.65602283E-02  3.14159265E+00
        9 -2.44350919E-01  0.00000000E+00  3.22380628E-02  0.00000000E+00  3.22380628E-02  0.00000000E+00
       10 -3.56512698E-01  0.00000000E+00  6.66317998E-03  0.00000000E+00  6.66317998E-03  0.00000000E+00
