# its =           20
# epsA =   1.00000000E-09
# T =    1.5277186653394232E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  3.31717635E-03  1.96167175E-01 -1.04098759E+00  1.51701829E-01  1.05198318E+00  2.99688255E+00
        2 -3.12337413E-07  0.00000000E+00  9.99995228E-01  0.00000000E+00  9.99995228E-01  0.00000000E+00
        3 -1.70484818E-02  0.00000000E+00  7.70702503E-01  0.00000000E+00  7.70702503E-01  0.00000000E+00
        4 -4.74634882E-02  9.15615772E-02  8.28813612E-02  4.77126859E-01  4.84271990E-01  1.39880330E+00
        5 -1.76418374E-01 -2.05639476E-01 -6.75304661E-02  0.00000000E+00  6.75304661E-02  3.14159265E+00
        6 -3.14051820E-01  0.00000000E+00  8.24763924E-03  0.00000000E+00  8.24763924E-03  0.00000000E+00
        7 -3.23566456E-01  6.66868340E-02  3.73993299E-03  6.07257210E-03  7.13184624E-03  1.01878721E+00
        8 -3.95491449E-01  8.34368972E-02  6.93568779E-04  2.27336328E-03  2.37680841E-03  1.27468105E+00
        9 -4.76175831E-01  4.61597123E-02  5.27633925E-04  4.49122203E-04  6.92898486E-04  7.05190541E-01
       10 -6.37390149E-01  0.00000000E+00  5.90262514E-05  0.00000000E+00  5.90262514E-05  0.00000000E+00
